link,rooms,area_m2,price_kzt,floor,year_built,residential_complex,region,rating_2gis
https://krisha.kz/a/show/1001894083,2,59.31,15000000,,2025,Boston Comfort House 2,Есильский р-н,
https://krisha.kz/a/show/1001788431,1,33,17900000,2,2020,Asqat,Алматы р-н,
https://krisha.kz/a/show/1001372147,3,84.5,35490000,,2025,Eleven,Нура р-н,4.9
https://krisha.kz/a/show/1000515252,4,143.72,122593160,,2026,Family Gardens,Есильский р-н,
https://krisha.kz/a/show/761728315,2,46.68,30155280,,2026,Arena Vista,Нура р-н,4.6
https://krisha.kz/a/show/1000482773,4,117.64,45879600,,2025,Sardar Compass,Сарайшык р-н,4.3
https://krisha.kz/a/show/1000482538,1,42.03,17022150,,2025,Sardar Compass,Сарайшык р-н,4.3
https://krisha.kz/a/show/1002500791,4,108.92,52826200,,2026,Aisafa,Сарайшык р-н,
https://krisha.kz/a/show/760288002,1,42,24150000,,2026,MoD. Style,Есильский р-н,5
https://krisha.kz/a/show/1002775814,3,50,30000000,9,2019,Табысты,Нура р-н,3.6
https://krisha.kz/a/show/687812555,1,38.3,21409700,,2025,Jetisu.Kerbez,Есильский р-н,4.8
https://krisha.kz/a/show/1002172999,3,93,43000000,4,2017,Меркурий,Есильский р-н,
https://krisha.kz/a/show/1003038399,2,68,53490000,10,2023,Sensata Plaza,Сарайшык р-н,
https://krisha.kz/a/show/678570272,2,44.1,38000000,9,2021,S Club,Есильский р-н,3.1
https://krisha.kz/a/show/762274796,3,103,44500000,5,2009,Сайран,Сарыарка р-н,
https://krisha.kz/a/show/1000673168,1,38.08,17288320,,2026,Jetisu.Nauryz,Есильский р-н,4.3
https://krisha.kz/a/show/761222389,4,134.3,93000000,2,2025,Nexpo Trend,Есильский р-н,4.8
https://krisha.kz/a/show/760084222,1,34.45,15743650,,2025,Parkland,Сарыарка р-н,4.6
https://krisha.kz/a/show/1000673023,4,121.26,54567000,,2026,IZBASAR,Сарайшык р-н,
https://krisha.kz/a/show/762170353,1,42.97,16758300,,2026,Salt 2,Есильский р-н,4
https://krisha.kz/a/show/687612864,1,27,7020000,,2024,Астана,Нура р-н,
https://krisha.kz/a/show/1002501504,1,39.93,19965000,,2026,Ayala,Нура р-н,
https://krisha.kz/a/show/1002501197,3,89.01,46285200,,2027,Saryn,Сарайшык р-н,4.6
https://krisha.kz/a/show/1002501197,3,89.01,46285200,,2027,Saryn,Сарайшык р-н,4.6
https://krisha.kz/a/show/695736655,2,62.3,28035000,,2025,Sardar Family,Алматы р-н,4.8
https://krisha.kz/a/show/692724891,2,68.34,25969200,,2025,Muz Tau,Сарайшык р-н,4.4
https://krisha.kz/a/show/1001831936,2,60,22900000,9,2011,Алтын Раид,Алматы р-н,
https://krisha.kz/a/show/1000940313,2,40,18500000,4,2014,Елорда Даму по Байтурсынова,Сарайшык р-н,
https://krisha.kz/a/show/762278854,3,72,45500000,13,2020,Sezim Qala.Baqyt,Нура р-н,
https://krisha.kz/a/show/699700307,2,65.4,24000000,5,2024,Мирный дом,Сарыарка р-н,
https://krisha.kz/a/show/697017012,3,78.9,28899999,2,2024,Мирный дом,Сарыарка р-н,
https://krisha.kz/a/show/1000866721,1,38,24900000,4,2021,Inju City,Есильский р-н,
https://krisha.kz/a/show/1000267167,3,101.3,86500000,2,2021,Only Sun & Moon,Есильский р-н,
https://krisha.kz/a/show/761098322,1,37.6,27636000,,2026,GreenLine. Garden,Нура р-н,4.4
https://krisha.kz/a/show/697633884,3,85.5,37600000,,2025,Delta,Нура р-н,4.8
https://krisha.kz/a/show/697633884,3,85.5,37600000,,2025,Delta,Нура р-н,5
https://krisha.kz/a/show/1002693748,3,61.62,26311740,,2026,Family Nest,Есильский р-н,4.5
https://krisha.kz/a/show/1002708571,2,48.79,29908270,,2026,TULGA,Нура р-н,
https://krisha.kz/a/show/689144122,2,76.7,49855000,,2023,Golden Residence,Алматы р-н,4.6
https://krisha.kz/a/show/48623111,1,27.4,7124000,,2022,Астана,Нура р-н,
https://krisha.kz/a/show/1001820507,2,67.5,50000000,12,2016,Edel,Сарыарка р-н,
https://krisha.kz/a/show/697045484,1,42,20500000,6,2007,Меррити,Алматы р-н,
https://krisha.kz/a/show/692417358,2,72.1,50000000,1,2016,Expo Residence,Есильский р-н,
https://krisha.kz/a/show/760234219,2,51,31000000,16,2024,Turan Palace,Есильский р-н,4.3
https://krisha.kz/a/show/699408181,3,104,71000000,8,2022,Prime Garden,Есильский р-н,4.6
https://krisha.kz/a/show/682933561,2,65.61,32000000,10,2023,Комсомольский,Есильский р-н,
https://krisha.kz/a/show/1001919778,3,85,30000000,10,2007,Магистральный-1,Алматы р-н,
https://krisha.kz/a/show/1003079084,3,128,78000000,9,2007,Хайвил Астана,Алматы р-н,
https://krisha.kz/a/show/682920208,3,85.42,38439000,,2024,BURABAY-2,Алматы р-н,
https://krisha.kz/a/show/686087381,2,122.5,50225000,,2024,Gold Land,Есильский р-н,4.5
https://krisha.kz/a/show/686087381,2,122.5,50225000,,2024,Gold Land,Есильский р-н,2.8
https://krisha.kz/a/show/762070506,3,77.54,37374280,,2026,Jetisu Satti,Есильский р-н,3.8
https://krisha.kz/a/show/696998428,3,105.9,55597500,,2025,Qasiet,Алматы р-н,4.9
https://krisha.kz/a/show/675971516,1,37.8,10017000,,2024,KHAN RESIDENCE,Сарыарка р-н,
https://krisha.kz/a/show/682031052,1,38.35,14189500,,2025,Safuan,Есильский р-н,3.9
https://krisha.kz/a/show/760292100,1,30,11000000,4,2024,Aq-Jol,Есильский р-н,
https://krisha.kz/a/show/1002595664,2,83,38900000,7,2009,Самрук,Сарыарка р-н,
https://krisha.kz/a/show/1002084899,2,54.5,35500000,16,2020,Бухар Жырау,Есильский р-н,
https://krisha.kz/a/show/1001252390,2,67.45,31000000,7,2022,Баскару 2,Алматы р-н,3.6
https://krisha.kz/a/show/1000383551,2,66,34000000,4,2014,Семь Палат,Нура р-н,
https://krisha.kz/a/show/1000514615,4,146,155052000,,2026,Family Gardens,Есильский р-н,
https://krisha.kz/a/show/1000177217,2,67.47,25638600,,2026,Akan City,Сарыарка р-н,5
https://krisha.kz/a/show/1000176884,2,70.56,26812800,,2026,Akan City,Сарыарка р-н,5
https://krisha.kz/a/show/1000482771,3,98.53,38426700,,2025,Sardar Compass,Сарайшык р-н,4.3
https://krisha.kz/a/show/689222274,1,39.21,23864000,,2025,Tumar Residence,Есильский р-н,4.5
https://krisha.kz/a/show/686616907,3,96.23,50280175,,2024,Tumar Club,Нура р-н,4.5
https://krisha.kz/a/show/1002501201,4,111.55,59121500,,2027,Saryn,Сарайшык р-н,4.6
https://krisha.kz/a/show/1002501201,4,111.55,59121500,,2027,Saryn,Сарайшык р-н,4.6
https://krisha.kz/a/show/1002269719,2,63.28,28792400,,2026,Dariya,Нура р-н,
https://krisha.kz/a/show/692664337,3,77.04,46224000,,2025,Dauir,Нура р-н,
https://krisha.kz/a/show/48622727,1,32.3,8398000,,2023,Астана,Нура р-н,
https://krisha.kz/a/show/760716230,3,75.3,33500000,9,2012,Торлет,Сарыарка р-н,
https://krisha.kz/a/show/687490235,3,105,90000000,4,2021,Capital Park. Light,Есильский р-н,
https://krisha.kz/a/show/1001083833,2,45,21000000,6,2022,Запад по ул. Нажимеденова,Алматы р-н,
https://krisha.kz/a/show/1000512528,2,73.01,67826290,,2026,Family Gardens,Есильский р-н,
https://krisha.kz/a/show/691048360,2,64.5,30900000,,2024,Respublika,Нура р-н,4.8
https://krisha.kz/a/show/691048360,2,64.5,30900000,,2024,Respublika,Нура р-н,4.9
https://krisha.kz/a/show/691048360,2,64.5,30900000,,2024,Respublika,Нура р-н,
https://krisha.kz/a/show/682920197,2,62.05,27302000,,2024,BURABAY-2,Алматы р-н,
https://krisha.kz/a/show/690154215,1,38.31,18388800,,2024,BURABAY-2,Алматы р-н,
https://krisha.kz/a/show/690093616,2,82,80360000,,2024,Dara Residence,Есильский р-н,4.7
https://krisha.kz/a/show/1002899822,2,59.67,23868000,,2026,Baisa,Нура р-н,
https://krisha.kz/a/show/1002717236,1,41.9,22500300,,2026,Jetisu.Aspan,Есильский р-н,
https://krisha.kz/a/show/680906998,2,67.7,49421000,,2023,Four Seasons,Нура р-н,5
https://krisha.kz/a/show/1002515518,2,58,24500000,5,2012,Мкр Сарайшик,Сарайшык р-н,
https://krisha.kz/a/show/1002576773,3,76,78800000,3,2024,Evolution,Нура р-н,4.7
https://krisha.kz/a/show/1002576773,3,76,78800000,3,2024,Evolution,Нура р-н,4.8
https://krisha.kz/a/show/1002164149,1,38,17500000,3,2015,Саламат,Алматы р-н,
https://krisha.kz/a/show/1001790009,1,43.3,20300000,5,2025,Delta,Нура р-н,4.8
https://krisha.kz/a/show/1001790009,1,43.3,20300000,5,2025,Delta,Нура р-н,5
https://krisha.kz/a/show/761531320,1,36,15450000,3,2024,Самгау,Алматы р-н,
https://krisha.kz/a/show/699932456,1,42.9,27200000,14,2017,Promenade Expo,Есильский р-н,
https://krisha.kz/a/show/1002460916,3,86,39900000,14,2016,Лазурный квартал,Есильский р-н,
https://krisha.kz/a/show/760415890,2,64.73,36313530,,2026,ABYROI,Есильский р-н,4.9
https://krisha.kz/a/show/1002965808,2,56.7,33500000,10,2017,Времена года. Зима,Есильский р-н,
https://krisha.kz/a/show/1001711483,1,40,30900000,6,2024,Asylym Park 1,Есильский р-н,
https://krisha.kz/a/show/760531221,3,81,38000000,2,2009,Махаббат-2,Сарыарка р-н,
https://krisha.kz/a/show/694352910,2,67,34000000,7,2020,Бейбарыс,Алматы р-н,4.7
https://krisha.kz/a/show/694352910,2,67,34000000,7,2020,Бейбарыс,Алматы р-н,4.2
https://krisha.kz/a/show/694352910,2,67,34000000,7,2020,Бейбарыс,Алматы р-н,4.4
https://krisha.kz/a/show/1002545138,2,75,61000000,6,2017,GreenLine.Зеленый квартал,Есильский р-н,
https://krisha.kz/a/show/1001327430,2,71,46000000,3,2022,Inju City,Нура р-н,
https://krisha.kz/a/show/1001463429,1,44,29000000,2,2017,Promenade Expo,Есильский р-н,
https://krisha.kz/a/show/1000147744,2,44.8,23000000,7,2018,Алтын Уя,Алматы р-н,
https://krisha.kz/a/show/1000673584,3,129.54,114513360,,2026,Nexpo Aura,Есильский р-н,3.8
https://krisha.kz/a/show/689662163,1,38.3,17800000,,2025,Delta,Нура р-н,4.8
https://krisha.kz/a/show/689662163,1,38.3,17800000,,2025,Delta,Нура р-н,5
https://krisha.kz/a/show/761717061,4,114.56,53499520,,2026,Aisar,Есильский р-н,5
https://krisha.kz/a/show/761716483,3,71.01,34084800,,2026,Aisar,Есильский р-н,5
https://krisha.kz/a/show/1002639199,1,42,25900000,8,2019,Alan,Есильский р-н,
https://krisha.kz/a/show/760697930,4,114.02,69666220,,2026,MoD. Style,Есильский р-н,5
https://krisha.kz/a/show/1002708573,2,54.23,33514140,,2026,TULGA,Нура р-н,
https://krisha.kz/a/show/1002036987,1,37,15900000,5,2016,Толенды,Сарыарка р-н,
https://krisha.kz/a/show/1002670044,3,90,34999990,5,2010,Жагалау 3,Есильский р-н,5
https://krisha.kz/a/show/760415901,4,115.25,61543500,,2026,ABYROI,Есильский р-н,4.9
https://krisha.kz/a/show/699979990,2,64.01,31044850,,2026,Dariya,Нура р-н,
https://krisha.kz/a/show/689222379,1,47.95,25964925,,2025,Tumar Residence,Есильский р-н,4.5
https://krisha.kz/a/show/689144127,4,116.8,75920000,,2023,Golden Residence,Алматы р-н,4.6
https://krisha.kz/a/show/1003098153,2,55,23500000,10,2024,Акерке 2,Сарыарка р-н,
https://krisha.kz/a/show/1002678749,1,41,18500000,,2020,Qazaq Eli Kulan,Алматы р-н,
https://krisha.kz/a/show/1002659464,2,37,22900000,2,2018,Absolute,Есильский р-н,
https://krisha.kz/a/show/1002604881,2,52,38500000,4,2020,Highvill Ishim C,Сарайшык р-н,
https://krisha.kz/a/show/760302520,2,63.7,25500000,4,2025,A-City,Алматы р-н,3.9
https://krisha.kz/a/show/761659717,4,125,89000000,10,2023,Zauzar,Алматы р-н,
https://krisha.kz/a/show/761420058,3,96,51000000,10,2017,Каратау,Есильский р-н,
https://krisha.kz/a/show/761252402,1,40,19500000,15,2022,Qazaq Eli Kulan,Алматы р-н,
https://krisha.kz/a/show/683856598,3,99,59500000,11,2023,Grand Turan Comfort,Есильский р-н,
https://krisha.kz/a/show/1002986417,2,46.8,22500000,3,2013,Орбита-2,Алматы р-н,
https://krisha.kz/a/show/1001836138,3,90,42000000,7,2023,Rio de Janeiro,Сарыарка р-н,4.8
https://krisha.kz/a/show/1001195505,3,68,17500000,2,2024,Koktobe Hills,Нура р-н,4.4
https://krisha.kz/a/show/1001195505,3,68,17500000,2,2024,Koktobe Hills,Нура р-н,4
https://krisha.kz/a/show/1000482769,3,92.49,35146200,,2025,Sardar Compass,Сарайшык р-н,4.3
https://krisha.kz/a/show/1002708578,2,69.44,37150400,,2026,TULGA,Нура р-н,
https://krisha.kz/a/show/761794568,1,44.41,22205000,,2026,Turan Plaza,Сарыарка р-н,4.5
https://krisha.kz/a/show/698766349,5,145.3,123129600,,2026,Salzburg,Алматы р-н,4.4
https://krisha.kz/a/show/1001681983,1,36,16000000,7,2020,ЛЕЯ-Сарыбулак,Сарыарка р-н,
https://krisha.kz/a/show/1002794467,2,48,29900000,4,2020,Dastur,Нура р-н,4.5
https://krisha.kz/a/show/1002817425,2,62.2,27800000,14,2019,Памир,Нура р-н,
https://krisha.kz/a/show/761036875,3,77.5,42000000,13,2022,Esil Tower,Сарыарка р-н,
https://krisha.kz/a/show/1001803276,1,39.6,21500000,16,2023,Улы Дала Авеню,Есильский р-н,
https://krisha.kz/a/show/761424925,1,39.5,23000000,5,2022,Madrid,Есильский р-н,4.4
https://krisha.kz/a/show/1002481773,2,65,34000000,7,2024,Turan Palace,Есильский р-н,4.3
https://krisha.kz/a/show/1001772645,2,60,32000000,12,2022,Бейбарыс,Алматы р-н,4.7
https://krisha.kz/a/show/1001772645,2,60,32000000,12,2022,Бейбарыс,Алматы р-н,4.2
https://krisha.kz/a/show/1001772645,2,60,32000000,12,2022,Бейбарыс,Алматы р-н,4.4
https://krisha.kz/a/show/692724886,1,45.7,17366000,,2025,Muz Tau,Сарайшык р-н,4.4
https://krisha.kz/a/show/1002841298,1,32,17999990,1,2020,Сатурн,Сарайшык р-н,
https://krisha.kz/a/show/1003040940,2,51,29500000,7,2020,ЛЕЯ за рекой,Есильский р-н,
https://krisha.kz/a/show/1001507412,2,68.5,36500000,2,2020,Сарыколь,Алматы р-н,
https://krisha.kz/a/show/760628054,3,80,46800000,5,2023,Dastur,Нура р-н,4.5
https://krisha.kz/a/show/697969333,2,51.18,39715680,,2026,GreenLine. Aurora,Нура р-н,5
https://krisha.kz/a/show/683962826,2,63.8,30600000,,2024,Respublika,Нура р-н,4.8
https://krisha.kz/a/show/683962826,2,63.8,30600000,,2024,Respublika,Нура р-н,4.9
https://krisha.kz/a/show/683962826,2,63.8,30600000,,2024,Respublika,Нура р-н,
https://krisha.kz/a/show/761794567,1,43.6,21800000,,2026,Turan Plaza,Сарыарка р-н,4.5
https://krisha.kz/a/show/760697931,4,131.66,77679400,,2026,MoD. Style,Есильский р-н,5
https://krisha.kz/a/show/695736648,1,38.71,17806600,,2025,Sardar Family,Алматы р-н,4.8
https://krisha.kz/a/show/761605918,4,164,80000000,14,2011,Гранд Астана,Алматы р-н,
https://krisha.kz/a/show/761713006,2,62,28100000,3,2024,Kolsai,Сарыарка р-н,4.7
https://krisha.kz/a/show/1002332905,2,49.2,37900000,14,2024,BUQAR JYRAU EXCLUSIVE 2,Есильский р-н,
https://krisha.kz/a/show/1000673716,4,137.72,137720000,,2026,Nexpo Aura,Есильский р-н,3.8
https://krisha.kz/a/show/760697985,4,140.81,90400020,,2025,GreenLine. Verda,Нура р-н,4.9
https://krisha.kz/a/show/683962805,1,38.9,19000000,,2023,Respublika,Нура р-н,4.8
https://krisha.kz/a/show/683962805,1,38.9,19000000,,2023,Respublika,Нура р-н,4.9
https://krisha.kz/a/show/683962805,1,38.9,19000000,,2023,Respublika,Нура р-н,
https://krisha.kz/a/show/697253197,2,66.07,24373017,,2025,Алтын Саулет,Нура р-н,
https://krisha.kz/a/show/1003028442,3,129,44890000,3,2005,Жетысу,Алматы р-н,
https://krisha.kz/a/show/1003027892,2,74,38000000,2,2020,Sat City,Нура р-н,4.8
https://krisha.kz/a/show/1002045452,1,30,11490000,4,2024,Akjol,Есильский р-н,
https://krisha.kz/a/show/699725487,2,58,27000000,9,2007,Достар-1,Алматы р-н,
https://krisha.kz/a/show/697862013,3,85,35000000,6,2010,Аль-Арка,Сарыарка р-н,
https://krisha.kz/a/show/1001776527,3,78,37000000,5,2017,По Кошкарбаева,Алматы р-н,
https://krisha.kz/a/show/1000878550,1,46,23000000,9,2009,Нур Отау,Алматы р-н,
https://krisha.kz/a/show/699980009,4,94.27,46192300,,2026,Dariya,Нура р-н,
https://krisha.kz/a/show/1000482562,3,86.35,32813000,,2025,Sardar Compass,Сарайшык р-н,4.3
https://krisha.kz/a/show/1002871275,2,46,16100000,11,2008,Тамыз,Сарыарка р-н,
https://krisha.kz/a/show/1001369704,1,40,20500000,2,2015,ViewPark,Алматы р-н,
https://krisha.kz/a/show/1001714775,1,42.9,26000000,5,2020,Sat City,Нура р-н,4.8
https://krisha.kz/a/show/1003046714,3,85.9,40500000,8,2020,Compass North,Сарайшык р-н,
https://krisha.kz/a/show/1000731597,2,82,51000000,2,2018,Венский квартал,Есильский р-н,
https://krisha.kz/a/show/760888358,2,65,29300000,8,2023,Adam Armany,Алматы р-н,
https://krisha.kz/a/show/1001956851,1,37,21000000,13,2010,Мисон,Есильский р-н,
https://krisha.kz/a/show/1001769919,4,137.5,58000000,9,2023,MADI,Нура р-н,
https://krisha.kz/a/show/1001600877,1,43,23900000,20,2021,Sezim Qala,Нура р-н,
https://krisha.kz/a/show/1001017451,2,57.9,21990000,1,2024,Safar,Алматы р-н,4.7
https://krisha.kz/a/show/697969344,3,108.03,78537810,,2026,GreenLine. Aurora,Нура р-н,5
https://krisha.kz/a/show/682031054,1,32.18,11906600,,2025,Safuan,Есильский р-н,3.9
https://krisha.kz/a/show/677311432,4,126.22,88354000,,2025,Istanbul,Нура р-н,4.8
https://krisha.kz/a/show/761794569,2,62.89,30816100,,2026,Turan Plaza,Сарыарка р-н,4.5
https://krisha.kz/a/show/697982018,1,34.3,23000000,6,2024,Altyn Besik,Нура р-н,
https://krisha.kz/a/show/1000510457,3,85.01,53301270,,2026,Capital Park. Melody,Есильский р-н,4
https://krisha.kz/a/show/697909165,3,104.27,76221370,,2026,Qasteev,Нура р-н,4.9
https://krisha.kz/a/show/1001077262,5,202.7,200000000,,2015,Хайвил Астана,Алматы р-н,
https://krisha.kz/a/show/760457229,3,94,70000000,,2013,Хайвил Астана,Алматы р-н,
